,st,occ_code,occ_title,tot_emp,h_mean,a_mean,year
236,AL,32926,Electrocardiograph Technicians,390,10.95,22770,1997
237,AL,32928,Surgical Technologists and Technicians,1270,11.67,24270,1997
238,AL,32931,Psychiatric Technicians,1470,8.49,17660,1997
239,AL,32951,Veterinary Technicians and Technologists,390,8.24,17130,1997
240,AL,32999,"All Other Health Professionals, Paraprofessionals, and Technicians",6660,14.18,29490,1997
241,AL,34000,"Writers, Artists, Entertainers, Athletes, and Related Occupations",**,*,*,1997
242,AL,34002,Writers and Editors,1270,13.98,29070,1997
243,AL,34005,Technical Writers and Editors,510,18.59,38660,1997
244,AL,34008,Public Relations Specialists and Publicity Writers,880,15.75,32770,1997
245,AL,34011,Reporters and Correspondents,570,10.66,22170,1997
246,AL,34014,Broadcast News Analysts,110,12.98,27000,1997
247,AL,34017,"Announcers, Radio and Television",1360,8.03,16700,1997
248,AL,34023,Photographers,720,10.39,21610,1997
249,AL,34026,"Camera Operators, Television and Motion Picture",200,9.33,19400,1997
250,AL,34028,Broadcast Technicians,450,10.55,21940,1997
251,AL,34032,Film Editors,60,10.87,22610,1997
252,AL,34035,Artists and Related Workers,920,14.41,29980,1997
253,AL,34038,"Designers, Except Interior Designers",2630,12.74,26500,1997
254,AL,34041,Interior Designers,370,11.47,23850,1997
255,AL,34044,Merchandise Displayers and Window Trimmers,**,7.86,16350,1997
256,AL,34051,"Musicians, Instrumental",**,*,21580,1997
257,AL,34053,Dancers and Choreographers,190,7.98,16600,1997
258,AL,34056,"Producers, Directors, Actors, and Other Entertainers",300,*,29570,1997
259,AL,34058,"Athletes, Coaches, Umpires, and Related Workers",160,*,25400,1997
260,AL,39000,"Other Professional, Paraprofessional, and Technical Occupations",**,8.27,17190,1997
261,AL,39002,Airplane Dispatchers and Air Traffic Controllers,240,27.82,57870,1997
262,AL,39005,Traffic Technicians,170,17.16,35690,1997
263,AL,39008,Radio Operators,150,11.51,23950,1997
264,AL,39011,Funeral Directors and Morticians,620,11.82,24590,1997
265,AL,39014,Embalmers,200,12.02,25000,1997
266,AL,39999,"All Other Professional, Paraprofessional, and Technical Workers",8030,20.80,43270,1997
267,AL,40000,Sales and Related Occupations,,,,
268,AL,41000,First Line Supervisors and Manager/Supervisors - Sales Workers,**,10.04,20880,1997
269,AL,41002,First-Line Supervisors and Managers/Supervisors - Sales and Related Workers,21540,13.43,27940,1997
270,AL,43000,"Sales Occupations, Services",**,9.66,20090,1997
271,AL,43002,"Sales Agents and Placers, Insurance",4390,19.25,40030,1997
272,AL,43005,"Brokers, Real Estate",210,27.86,57950,1997
273,AL,43008,"Sales Agents, Real Estate",1060,11.83,24600,1997
274,AL,43011,"Appraisers, Real Estate",290,14.82,30830,1997
275,AL,43014,"Sales Agents, Securities, Commodities, and Financial Services",1560,28.52,59310,1997
276,AL,43017,"Sales Agents, Selected Business Services",2810,17.07,35500,1997
277,AL,43021,Travel Agents,560,9.68,20140,1997
278,AL,43023,"Sales Agents, Advertising",1540,13.59,28270,1997
279,AL,43099,"All Other Sales Representatives and Salespersons, Services",550,12.89,26800,1997
280,AL,49000,"Merchandise, Products, and Other Sales and Sales Related Occupations",**,12.87,26770,1997
281,AL,49002,Sales Engineers,700,24.58,51120,1997
282,AL,49005,"Sales Representatives, Scientific and Related Products and Services, Except Retail",3870,23.94,49790,1997
283,AL,49008,"Sales Representatives, Except Retail and Scientific and Related Products and Services",16110,17.95,37330,1997
284,AL,49011,"Salespersons, Retail",55210,8.11,16860,1997
285,AL,49014,"Salespersons, Parts",5940,11.07,23010,1997
286,AL,49017,Counter and Rental Clerks,6200,6.52,13560,1997
287,AL,49021,"Stock Clerks, Sales Floor",17580,6.68,13900,1997
288,AL,49023,Cashiers,62230,6.07,12630,1997
289,AL,49026,"Telemarketers, Door-To-Door Sales Workers, News and Street Vendors, and Other Related Workers",4290,8.61,17910,1997
290,AL,49034,Demonstrators and Promoters,200,6.98,14510,1997
291,AL,49999,All Other Sales and Related Workers,4240,11.29,23480,1997
292,AL,50000,Clerical and Administrative Support Occupations,,,,
293,AL,51000,First Line Supervisors and Manager/Supervisors - Clerical Workers,**,10.05,20900,1997
294,AL,51002,First-Line Supervisors and Managers/Supervisors - Clerical and Administrative Support Workers,17830,14.67,30510,1997
295,AL,53000,Industry Specific Clerical and Administrative Support Occupations,**,9.8,20370,1997
296,AL,53102,Tellers,10010,7.15,14880,1997
297,AL,53105,New Accounts Clerks,2400,7.99,16630,1997
298,AL,53108,Transit Clerks,**,8.71,18110,1997
299,AL,53111,Loan Interviewers,60,10.26,21340,1997
300,AL,53114,Credit Authorizers,100,12.68,26370,1997
301,AL,53117,Credit Checkers,710,8.89,18490,1997
302,AL,53121,Loan and Credit Clerks,2080,8.27,17210,1997
303,AL,53123,Adjustment Clerks,3450,9.61,19980,1997
304,AL,53126,Statement Clerks,200,7.74,16100,1997
305,AL,53128,Brokerage Clerks,610,9.96,20710,1997
306,AL,53302,"Insurance Adjusters, Examiners, and Investigators",1690,17.66,36740,1997
307,AL,53305,"Insurance Appraisers, Auto Damage",80,22.48,46760,1997
308,AL,53308,Insurance Examining Clerks,190,7.94,16520,1997
